1764348617,team_4,team_1,bug1,4162c763a3fd7a6c195674bf5017d9f679d4e5cf,100
1764348617,team_3,team_1,bug2,7db717e07915f1105b6515acc07f63af394b2705,100
1764348618,team_3,team_1,bug1,4162c763a3fd7a6c195674bf5017d9f679d4e5cf,100
1764348619,team_1,team_2,bug4,220effe856547f790ac5247bb5ebe0f882596fff,100
1764348620,team_1,team_2,bug1,c4b94e6da51b12b82163a0ac472844665c9c3658,100
1764348621,team_1,team_2,bug3,5b98478729b71b5ca9520f476b48f4e65dd2ddac,100
1764348621,team_1,team_2,bug2,dabc1094b5b624bf0931b1cc69e110e96b294ba2,100
1764348622,team_1,team_2,bug3,5b98478729b71b5ca9520f476b48f4e65dd2ddac,100
1764348623,team_1,team_2,bug2,dabc1094b5b624bf0931b1cc69e110e96b294ba2,100
1764348624,team_1,team_2,bug2,dabc1094b5b624bf0931b1cc69e110e96b294ba2,100
1764348625,team_2,team_3,bug3,74ce8f63a29f2f4ea7d9afe08ac08eece3f9bcc2,100
1764348507,team_2,team_4,bug3,37c0f1b55e3b8ca751fd9a06dc3c07b28d88b73a,100
1764348627,team_1,team_4,bug4,7b0a06e8d755155ff9879dd38de6da4f69a528b3,100
1764348627,team_1,team_4,bug3,37c0f1b55e3b8ca751fd9a06dc3c07b28d88b73a,100
1764348628,team_1,team_4,bug3,37c0f1b55e3b8ca751fd9a06dc3c07b28d88b73a,100
1764348629,team_1,team_4,bug3,37c0f1b55e3b8ca751fd9a06dc3c07b28d88b73a,100
1764348629,team_1,team_4,bug2,17f0bb7224007142b835d2ef46664c0d2e59b86f,100
1764348630,team_1,team_4,bug1,f085d67f133069c196fb3a7204c8f309043cd799,100
1764348631,team_2,team_4,bug4,7b0a06e8d755155ff9879dd38de6da4f69a528b3,100
1764348632,team_2,team_4,bug4,7b0a06e8d755155ff9879dd38de6da4f69a528b3,100
1764348632,team_2,team_4,bug2,17f0bb7224007142b835d2ef46664c0d2e59b86f,100
1764348633,team_2,team_4,bug2,17f0bb7224007142b835d2ef46664c0d2e59b86f,100
1764348634,team_2,team_4,bug1,f085d67f133069c196fb3a7204c8f309043cd799,100
